scenes: scene=s2 seeds=24 seed0=1 frames=24000 gap=90 energies=[1.0, 0.5] DROP_REACH=shipped
  REVERSE=shipped CHOOSER=nopatience

S2 wall of height 1
  seed decisions  arrived    step  tumble    idle blocked   peak atwall   still@x  frozen
    15       198      198   59.1%    0.0%   40.9%    0.0%     12    154      0.00      11
    16       606      606   60.6%    0.0%   39.4%    0.0%     12    557      0.00       8
    17        97       97   62.9%    0.0%   37.1%    0.0%     12     48      0.00       3
    18       136      136   68.4%    0.0%   31.6%    0.0%     12     84      0.00      10
    19       355      355   58.0%    0.0%   42.0%    0.0%     12    307      0.00       7
    20       276      276   59.1%    0.0%   40.9%    0.0%     12    225      0.00       7
    21       159      159   56.0%    0.0%   44.0%    0.0%     12    105      0.00      13
    22       193      193   64.2%    0.0%   35.8%    0.0%     12    145      0.00       6
    23        87       87   70.1%    0.0%   29.9%    0.0%     12     40      0.00       3
    24       225      225   60.4%    0.0%   39.6%    0.0%     12    180      0.00      18
  S2 wall of height 12: arrived 24 of 24 (median 225 decisions) | step 62.1%  tumble 0.0%  idle 37.9%  blocked 0.0% | facing home 21.6% (p_move 0.76), away 8.2% (p_move 0.22) | re-roll fired 0, 0 of them pointing away | longest stand-still 18 decisions | chooser stepped 3819, 1289 of them pointing away, patience fell to 1.000
