# S2 per-decision dumps, 2026-09-23: the stuck runs, read decision by decision

## wall height 12, seed 1, decisions 3000-3023
    dump, seed 1: decision frame head -> head_after heading -> after | usable | home_aligned p_move stillness | outcome homeward home_cos
     3015  18096 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3016  18102 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3017  18108 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3018  18114 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3019  18120 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3020  18126 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3021  18132 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     3022  18138 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedIdle NotAsked NaN
     3023  18144 (178, 85) -> (178, 85) SE -> SE | E|SE | -0.625 0.000 1.000 | RollFailedTumbled Fired -0.625
     8      4000        -    0.6%   49.5%   49.8%    0.0%      2   3978      0.00
